VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
188	WM14	SET	94	0.14129	0.0099277	0.10948	0.09843	tCognFun
189	WM15	SET	99	0.35169	0.025356	0.11453	0.0010696	tCognFun
190	WM16	SET	221	0.040022	0.0042972	0.07149	0.2878	tCognFun
191	WM17	SET	129	0.047697	0.0039223	0.093907	0.30576	tCognFun
192	WM18	SET	84	-0.092685	-0.0061578	0.11923	0.78153	tCognFun
193	WM19	SET	225	-0.10972	-0.011885	0.065082	0.95408	tCognFun
194	WM2	SET	476	0.05925	0.0092728	0.045834	0.098063	tCognFun
195	WM20	SET	212	0.055429	0.0058305	0.070365	0.21543	tCognFun
196	WM21	SET	357	-0.024088	-0.0032752	0.061598	0.65212	tCognFun
197	WM22	SET	88	-0.00045646	-3.1037e-05	0.10871	0.50168	tCognFun
198	WM23	SET	130	0.071696	0.0059185	0.085988	0.20221	tCognFun
199	WM24	SET	144	0.013671	0.0011874	0.093427	0.44183	tCognFun
200	WM25	SET	984	0.12335	0.027372	0.03365	0.00012367	tCognFun
201	WM26	SET	402	0.098313	0.014168	0.053676	0.033513	tCognFun
202	WM3	SET	458	0.028923	0.0044422	0.050161	0.28211	tCognFun
203	WM4	SET	131	-0.054215	-0.0044925	0.10652	0.69461	tCognFun
204	WM5	SET	77	-0.042678	-0.0027152	0.11595	0.64359	tCognFun
205	WM6	SET	76	-0.11968	-0.0075649	0.12352	0.83371	tCognFun
206	WM7	SET	79	-0.070856	-0.0045659	0.13002	0.70711	tCognFun
207	WM8	SET	88	-0.059263	-0.0040295	0.11967	0.68978	tCognFun
208	WM9	SET	90	0.061032	0.0041965	0.09926	0.26932	tCognFun
209	WM1	SET	220	0.076539	0.0082238	0.086068	0.18693	tEduATT
210	WM10	SET	364	0.18939	0.026073	0.067904	0.0026462	tEduATT
211	WM11	SET	201	0.063882	0.0065641	0.085183	0.22665	tEduATT
212	WM12	SET	115	0.24979	0.019459	0.13288	0.030074	tEduATT
213	WM13	SET	105	0.12179	0.009068	0.11699	0.14893	tEduATT
214	WM14	SET	94	0.21628	0.015241	0.12607	0.043131	tEduATT
215	WM15	SET	99	0.50528	0.036537	0.13484	8.9708e-05	tEduATT
216	WM16	SET	221	-0.00621	-0.00066873	0.083037	0.52981	tEduATT
217	WM17	SET	129	0.21323	0.017586	0.10281	0.019048	tEduATT
218	WM18	SET	84	0.12353	0.0082316	0.1454	0.19778	tEduATT
219	WM19	SET	225	-0.034231	-0.003719	0.075914	0.67397	tEduATT
220	WM2	SET	475	-0.026158	-0.0041014	0.05297	0.68928	tEduATT
221	WM20	SET	212	0.083647	0.0088245	0.082429	0.15511	tEduATT
222	WM21	SET	357	-0.085998	-0.011727	0.070596	0.88841	tEduATT
223	WM22	SET	88	0.1254	0.0085514	0.12899	0.1655	tEduATT
224	WM23	SET	130	0.10438	0.0086422	0.10069	0.14994	tEduATT
225	WM24	SET	143	-0.18744	-0.016271	0.10657	0.96069	tEduATT
226	WM25	SET	983	0.13102	0.029142	0.038501	0.00033387	tEduATT
227	WM26	SET	402	0.030353	0.0043869	0.063456	0.31621	tEduATT
228	WM3	SET	458	0.097484	0.015016	0.059804	0.051554	tEduATT
229	WM4	SET	131	0.012157	0.0010104	0.12392	0.46092	tEduATT
230	WM5	SET	77	0.0075697	0.00048302	0.1347	0.47759	tEduATT
231	WM6	SET	76	0.041112	0.0026063	0.14407	0.38769	tEduATT
232	WM7	SET	79	-0.0021638	-0.00013984	0.14939	0.50578	tEduATT
233	WM8	SET	88	-0.22418	-0.015288	0.13356	0.95337	tEduATT
234	WM9	SET	90	0.081159	0.0055969	0.11792	0.24566	tEduATT
235	WM1	SET	220	-0.0023959	-0.00025763	0.076206	0.51254	tIntelligence
236	WM10	SET	364	0.14912	0.020546	0.058665	0.0055161	tIntelligence
237	WM11	SET	201	-0.016178	-0.0016637	0.073062	0.58762	tIntelligence
238	WM12	SET	115	0.31024	0.024187	0.11225	0.0028592	tIntelligence
239	WM13	SET	105	-0.03767	-0.002807	0.099589	0.64738	tIntelligence
240	WM14	SET	94	0.037729	0.0026609	0.10836	0.36385	tIntelligence
241	WM15	SET	99	0.22832	0.016523	0.11489	0.023451	tIntelligence
242	WM16	SET	221	0.048515	0.0052286	0.069464	0.24246	tIntelligence
243	WM17	SET	129	0.026976	0.0022266	0.092352	0.38511	tIntelligence
244	WM18	SET	84	-0.12993	-0.0086648	0.12038	0.85977	tIntelligence
245	WM19	SET	225	-0.035814	-0.0038941	0.064801	0.70975	tIntelligence
246	WM2	SET	474	0.056441	0.0088474	0.044971	0.10474	tIntelligence
247	WM20	SET	212	0.084263	0.0088964	0.071506	0.11933	tIntelligence
248	WM21	SET	357	-0.058613	-0.0079991	0.060522	0.83359	tIntelligence
249	WM22	SET	88	0.051251	0.0034978	0.10025	0.30459	tIntelligence
250	WM23	SET	130	0.1575	0.01305	0.083579	0.029762	tIntelligence
251	WM24	SET	144	-0.013931	-0.0012144	0.094729	0.55846	tIntelligence
252	WM25	SET	984	0.10517	0.023421	0.032899	0.00069599	tIntelligence
253	WM26	SET	402	0.10939	0.015822	0.053105	0.019713	tIntelligence
254	WM3	SET	458	0.037271	0.0057455	0.050183	0.22884	tIntelligence
255	WM4	SET	131	-0.035877	-0.0029841	0.10494	0.63377	tIntelligence
256	WM5	SET	77	0.089348	0.0057058	0.10725	0.2024	tIntelligence
257	WM6	SET	76	-0.16322	-0.010355	0.12641	0.90167	tIntelligence
258	WM7	SET	79	-0.082685	-0.0053481	0.13323	0.73258	tIntelligence
259	WM8	SET	88	-0.041348	-0.002822	0.11637	0.63883	tIntelligence
260	WM9	SET	90	0.13078	0.0090263	0.10398	0.10424	tIntelligence
261	WM1	SET	219	-0.019283	-0.0020574	0.075588	0.60068	zBMI
262	WM10	SET	365	0.10047	0.013785	0.062063	0.052755	zBMI
263	WM11	SET	201	0.13872	0.014187	0.078313	0.038255	zBMI
264	WM12	SET	114	0.11808	0.0091151	0.11347	0.14904	zBMI
265	WM13	SET	106	-0.0932	-0.006939	0.10781	0.80633	zBMI
266	WM14	SET	94	0.03199	0.0022436	0.11504	0.39048	zBMI
267	WM15	SET	99	0.23006	0.016556	0.1119	0.019906	zBMI
268	WM16	SET	221	0.07987	0.0085602	0.072975	0.13688	zBMI
269	WM17	SET	129	-0.065415	-0.0053695	0.092842	0.75946	zBMI
270	WM18	SET	84	-0.20867	-0.013838	0.12064	0.95815	zBMI
271	WM19	SET	226	0.02648	0.0028696	0.068529	0.3496	zBMI
272	WM2	SET	473	0.026418	0.0041144	0.047194	0.28782	zBMI
273	WM20	SET	212	0.15243	0.016005	0.074694	0.020646	zBMI
274	WM21	SET	357	-0.12499	-0.016964	0.063747	0.97503	zBMI
275	WM22	SET	88	0.10896	0.007395	0.11086	0.16284	zBMI
276	WM23	SET	130	0.07174	0.0059113	0.090072	0.21288	zBMI
277	WM24	SET	144	0.049484	0.0042898	0.098513	0.30773	zBMI
278	WM25	SET	979	0.057979	0.012812	0.034173	0.044891	zBMI
279	WM26	SET	402	0.083598	0.012026	0.056135	0.068222	zBMI
280	WM3	SET	458	0.072977	0.011188	0.052412	0.081911	zBMI
281	WM4	SET	131	0.31104	0.025727	0.10723	0.0018635	zBMI
282	WM5	SET	76	0.0937	0.0059118	0.11595	0.20952	zBMI
283	WM6	SET	77	0.17632	0.011197	0.1262	0.08119	zBMI
284	WM7	SET	79	-0.078687	-0.0050612	0.13169	0.72491	zBMI
285	WM8	SET	88	-0.023329	-0.0015833	0.12164	0.57605	zBMI
286	WM9	SET	90	0.20073	0.013777	0.1082	0.031798	zBMI
287	WM1	SET	218	-0.065572	-0.0072267	0.054094	0.88727	zCHD
288	WM10	SET	361	0.012707	0.0017948	0.043354	0.38472	zCHD
289	WM11	SET	198	-0.016214	-0.001704	0.056198	0.61352	zCHD
290	WM12	SET	115	0.10209	0.0081956	0.082435	0.1078	zCHD
291	WM13	SET	105	0.084242	0.0064642	0.078367	0.1412	zCHD
292	WM14	SET	90	-0.055991	-0.0039794	0.089609	0.73395	zCHD
293	WM15	SET	99	0.015026	0.0011198	0.085349	0.43013	zCHD
294	WM16	SET	214	-0.0089252	-0.00097469	0.055776	0.56357	zCHD
