Gene	cluster
SEMA5A	Inh_L2-4_VIP_CBLN1
CALN1	Inh_L2-4_VIP_CBLN1
PTPRE	Inh_L2-4_VIP_CBLN1
WSCD2	Inh_L2-4_VIP_CBLN1
LYPD6B	Inh_L2-4_VIP_CBLN1
KCNT2	Inh_L2-4_VIP_CBLN1
ANK1	Inh_L2-4_VIP_CBLN1
ANO4	Inh_L2-4_VIP_CBLN1
HTR1E	Inh_L2-4_VIP_CBLN1
RERG	Inh_L2-4_VIP_CBLN1
MCC	Inh_L2-4_VIP_CBLN1
KIAA1211	Inh_L2-4_VIP_CBLN1
B4GALT6	Inh_L2-4_VIP_CBLN1
ENTPD3	Inh_L2-4_VIP_CBLN1
SLC6A11	Inh_L2-4_VIP_CBLN1
NHS	Inh_L2-4_VIP_CBLN1
KIAA1456	Inh_L2-4_VIP_CBLN1
DPF3	Inh_L2-4_VIP_CBLN1
GNAL	Inh_L2-4_VIP_CBLN1
SEL1L3	Inh_L2-4_VIP_CBLN1
GAD1	Inh_L2-4_VIP_CBLN1
CLVS1	Inh_L2-4_VIP_CBLN1
LRRC3B	Inh_L2-4_VIP_CBLN1
PLXNA4	Inh_L2-4_VIP_CBLN1
GRIP2	Inh_L2-4_VIP_CBLN1
SLC6A1	Inh_L2-4_VIP_CBLN1
NR3C2	Inh_L2-4_VIP_CBLN1
SVEP1	Inh_L2-4_VIP_CBLN1
VWC2L	Inh_L2-4_VIP_CBLN1
DNER	Inh_L2-4_VIP_CBLN1
ADRA1A	Inh_L2-4_VIP_CBLN1
RARB	Inh_L2-4_VIP_CBLN1
DGKD	Inh_L2-4_VIP_CBLN1
MB21D2	Inh_L2-4_VIP_CBLN1
CCNH	Inh_L2-4_VIP_CBLN1
EML5	Inh_L2-4_VIP_CBLN1
LRFN2	Inh_L2-4_VIP_CBLN1
AFAP1	Inh_L2-4_VIP_CBLN1
SNRPN	Inh_L2-4_VIP_CBLN1
MAPK4	Inh_L2-4_VIP_CBLN1
ENAH	Inh_L2-4_VIP_CBLN1
ZMAT4	Inh_L2-4_VIP_CBLN1
DOCK10	Inh_L2-4_VIP_CBLN1
ZNF536	Inh_L2-4_VIP_CBLN1
RYR3	Inh_L2-4_VIP_CBLN1
