Gene	ModuleColor	kWithin	ModuleName
NDUFS8	blue	14.0256520011139	WM2
NECAB3	blue	18.7611666896083	WM2
NECAP1	blue	48.5905770389232	WM2
NLE1	blue	10.0565181585979	WM2
NLRP1	blue	18.5190011713891	WM2
NNAT	blue	27.125709540532	WM2
NONO	blue	39.3971599879019	WM2
NPRL2	blue	7.28504018349483	WM2
NPTN	blue	10.9905350423057	WM2
NSFL1C	blue	12.9650055607507	WM2
NT5C3B	blue	16.0929558070479	WM2
NUDT16L1	blue	17.8290412974318	WM2
OBSL1	blue	26.0123655609931	WM2
OLFM1	blue	11.2542235745256	WM2
OTUB1	blue	51.3965413737641	WM2
PAK1	blue	12.6838271823671	WM2
PANK4	blue	14.091438932161	WM2
PBX2	blue	5.72120429311078	WM2
PCSK1N	blue	11.5871003397199	WM2
PCYT2	blue	31.9858025470548	WM2
PDDC1	blue	19.5703514470162	WM2
PDHA1	blue	19.788378653391	WM2
PDPK1	blue	34.1943644785486	WM2
PEA15	blue	16.1872549541664	WM2
PEF1	blue	5.79475090184922	WM2
PFDN5	blue	12.5623534572212	WM2
PGAM5	blue	21.5636904126438	WM2
PGK1	blue	23.1553981441711	WM2
PHB2	blue	56.7712787594395	WM2
PIH1D1	blue	38.5309779056483	WM2
PIN1	blue	37.9205771846148	WM2
PIP4K2C	blue	22.4023079018967	WM2
PITRM1	blue	43.6155345628672	WM2
PLEKHB2	blue	32.089160565525	WM2
PNMA6A	blue	17.2654654984341	WM2
PNPLA2	blue	31.2135579780923	WM2
POLDIP2	blue	39.9501033172186	WM2
POLR2E	blue	33.3901426603447	WM2
POP7	blue	12.0643746551413	WM2
PORCN	blue	6.6357222155179	WM2
PPDPF	blue	9.02991351151626	WM2
PPIA	blue	75.5379146119603	WM2
PPIB	blue	18.9801365434656	WM2
PPM1F	blue	10.1245755259372	WM2
PPM1M	blue	18.0196967852237	WM2
PPP2R5C	blue	33.8755981094857	WM2
PPP3CB	blue	17.0896285617231	WM2
PRAF2	blue	38.8703120715039	WM2
PRDX1	blue	15.3532827493188	WM2
PRMT1	blue	18.0320752907694	WM2
PRMT5	blue	51.5042574756753	WM2
